,agro_industria_e_comercio,alimentos,alimentos_bebidas,artes,artes_e_artesanato,artigos_de_festas,artigos_de_natal,audio,automotivo,bebes,bebidas,beleza_saude,brinquedos,cama_mesa_banho,casa_conforto,casa_conforto_2,casa_construcao,cds_dvds_musicais,cine_foto,climatizacao,consoles_games,construcao_ferramentas_construcao,construcao_ferramentas_ferramentas,construcao_ferramentas_iluminacao,construcao_ferramentas_jardim,construcao_ferramentas_seguranca,cool_stuff,dvds_blu_ray,eletrodomesticos,eletrodomesticos_2,eletronicos,eletroportateis,esporte_lazer,fashion_bolsas_e_acessorios,fashion_calcados,fashion_esporte,fashion_roupa_feminina,fashion_roupa_infanto_juvenil,fashion_roupa_masculina,fashion_underwear_e_moda_praia,ferramentas_jardim,flores,fraldas_higiene,industria_comercio_e_negocios,informatica_acessorios,instrumentos_musicais,la_cuisine,livros_importados,livros_interesse_geral,livros_tecnicos,malas_acessorios,market_place,moveis_colchao_e_estofado,moveis_cozinha_area_de_servico_jantar_e_jardim,moveis_decoracao,moveis_escritorio,moveis_quarto,moveis_sala,musica,papelaria,pc_gamer,pcs,perfumaria,pet_shop,portateis_casa_forno_e_cafe,portateis_cozinha_e_preparadores_de_alimentos,relogios_presentes,seguros_e_servicos,sinalizacao_e_seguranca,tablets_impressao_imagem,telefonia,telefonia_fixa,utilidades_domesticas
2018-09-04,0.63,1.15,0.49,0.45,0.0,0.06,0.34,0.84,10.25,7.92,1.07,21.66,8.2,27.36,0.74,0.03,1.65,0.01,0.11,0.69,2.14,2.18,0.37,0.73,0.71,0.41,8.84,0.13,2.14,0.42,8.73,1.91,22.26,4.13,0.43,0.03,0.13,0.02,0.13,0.27,10.28,0.15,0.13,0.71,23.45,1.68,0.09,0.17,1.32,0.54,2.69,0.42,0.15,0.59,20.26,4.09,0.18,0.75,0.06,6.65,0.0,0.33,7.4,3.38,0.14,0.0,13.04,0.0,0.33,0.12,11.5,0.5,13.74
2018-09-05,0.6,0.93,0.48,0.24,0.0,0.16,0.38,0.8,9.49,6.9,0.98,18.83,8.24,25.54,0.78,0.07,1.34,0.0,0.09,0.68,2.33,2.28,0.39,0.61,0.37,0.49,7.78,0.08,1.9,0.38,6.84,1.79,19.74,3.83,0.48,0.06,0.06,0.01,0.13,0.22,10.13,0.14,0.07,0.6,19.58,1.7,0.07,0.1,1.42,0.51,1.8,0.28,0.14,0.56,17.51,4.03,0.23,1.06,0.01,5.75,0.0,0.37,6.96,4.21,0.22,0.0,11.39,0.0,0.49,0.27,9.7,0.35,13.14
2018-09-06,0.39,0.83,0.46,0.3,0.0,0.11,0.31,0.7,8.26,6.7,1.04,17.78,8.28,24.76,0.77,0.05,1.36,0.0,0.07,0.63,2.33,1.81,0.32,0.51,0.46,0.45,7.57,0.12,1.73,0.3,5.82,1.98,18.18,3.83,0.53,0.07,0.08,0.01,0.14,0.27,8.86,0.14,0.07,0.56,16.27,1.41,0.05,0.08,1.36,0.34,1.93,0.35,0.1,0.65,17.11,3.8,0.12,0.6,0.04,5.7,0.0,0.61,7.22,3.42,0.14,0.0,11.34,0.0,0.37,0.21,9.87,0.33,11.86
2018-09-07,0.39,0.76,0.64,0.35,0.0,0.1,0.22,0.78,8.61,6.17,1.13,18.06,6.99,22.76,0.77,0.07,1.29,0.02,0.12,0.7,2.51,1.84,0.33,0.5,0.5,0.45,7.49,0.08,1.59,0.46,6.18,1.45,17.72,3.58,0.75,0.08,0.01,0.0,0.28,0.18,8.3,0.08,0.34,0.82,17.06,1.44,0.01,0.07,1.23,0.36,1.7,0.53,0.19,0.63,16.0,3.65,0.15,0.71,0.0,5.19,0.0,0.78,6.47,4.06,0.17,0.0,11.44,0.0,0.27,0.21,9.96,0.37,12.18
2018-09-08,0.47,0.86,0.52,0.52,0.0,0.1,0.32,0.73,10.7,7.49,1.72,20.11,8.34,25.87,0.8,0.07,1.64,0.01,0.12,0.61,2.32,2.41,0.39,0.42,0.71,0.61,7.55,0.09,2.16,0.52,7.93,1.65,21.54,4.11,0.48,0.02,0.06,0.01,0.14,0.2,10.77,0.14,0.16,0.8,21.18,1.62,0.05,0.13,1.33,0.43,1.96,0.35,0.18,0.75,18.89,4.46,0.15,0.83,0.06,6.7,0.01,0.62,7.1,4.18,0.2,0.0,12.7,0.0,0.53,0.09,10.94,0.4,13.48
2018-09-09,0.46,0.78,0.55,0.21,0.0,0.07,0.38,0.91,9.12,6.99,0.87,17.86,9.78,23.34,0.89,0.04,1.49,0.04,0.14,0.5,2.6,1.85,0.24,0.5,0.49,0.6,7.91,0.09,1.38,0.38,6.69,1.42,18.49,4.14,0.6,0.03,0.02,0.0,0.14,0.31,10.81,0.11,0.18,0.52,16.86,1.21,0.08,0.11,1.04,0.34,2.1,0.46,0.13,0.71,16.65,3.87,0.16,0.55,0.02,5.08,0.0,0.33,7.0,3.71,0.15,0.0,11.84,0.0,0.37,0.21,9.44,0.29,12.52
2018-09-10,0.87,1.43,0.55,0.46,0.0,0.06,0.42,1.07,11.49,7.93,1.5,22.9,8.34,27.63,0.88,0.07,1.75,0.02,0.09,0.53,2.48,2.81,0.48,1.05,0.58,0.38,8.09,0.12,2.44,0.68,9.49,1.53,24.41,4.06,0.61,0.02,0.02,0.0,0.08,0.3,11.51,0.12,0.12,1.05,27.39,1.84,0.06,0.12,1.09,0.51,2.17,0.43,0.15,0.68,21.41,4.87,0.31,0.84,0.03,6.25,0.01,0.48,7.82,3.94,0.17,0.0,13.75,0.0,0.52,0.2,11.41,0.42,16.0
2018-09-11,0.84,1.07,0.58,0.36,0.0,0.1,0.31,0.84,10.74,7.19,1.29,21.7,10.58,30.6,0.97,0.1,1.53,0.0,0.12,0.76,2.97,1.59,0.35,0.54,0.71,0.37,8.43,0.04,1.82,0.51,8.04,1.49,23.74,5.36,0.49,0.04,0.09,0.02,0.19,0.25,13.22,0.09,0.0,0.65,24.6,1.77,0.01,0.11,1.44,0.72,2.35,0.65,0.06,0.86,22.39,4.96,0.17,0.87,0.04,6.01,0.0,0.42,8.76,3.32,0.09,0.0,14.97,0.0,0.31,0.26,13.46,0.39,13.67
2018-09-12,0.22,0.39,0.52,0.25,0.0,0.06,0.28,0.54,6.16,5.48,0.97,13.83,7.81,20.19,0.85,0.03,0.58,0.05,0.02,0.43,2.18,0.82,0.16,0.15,0.38,0.26,7.64,0.16,0.78,0.31,4.87,1.15,15.38,3.76,0.53,0.04,0.09,0.0,0.31,0.21,7.32,0.03,0.1,0.39,12.4,1.1,0.01,0.11,0.9,0.17,2.11,0.58,0.08,0.47,13.22,2.87,0.09,0.61,0.02,5.2,0.0,0.59,5.89,2.68,0.0,0.0,8.76,0.0,0.19,0.07,7.64,0.31,9.19
2018-09-13,0.19,0.49,0.35,0.23,0.0,0.07,0.08,0.48,5.52,3.95,0.56,12.17,6.2,16.42,0.8,0.11,0.47,0.07,0.06,0.33,2.19,0.67,0.1,0.08,0.32,0.12,6.9,0.17,1.13,0.23,3.71,1.07,13.13,3.85,0.53,0.06,0.08,0.0,0.26,0.28,5.42,0.01,0.06,0.26,10.88,0.9,0.03,0.11,0.81,0.14,1.95,0.55,0.08,0.38,12.24,2.49,0.16,0.71,0.08,3.54,0.01,0.36,5.28,2.69,0.07,0.0,7.6,0.01,0.35,0.18,6.78,0.2,10.09
